ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands
243,simple,,,Aquamarine,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,11,Aqua Marine,,,"https://omegasols.com/aadam/wp-content/uploads/2025/03/AdobeStock_954670280_Preview.jpeg, https://omegasols.com/aadam/wp-content/uploads/2025/03/AdobeStock_46373309_Preview.jpeg, https://omegasols.com/aadam/wp-content/uploads/2025/03/AdobeStock_996106839_Preview.jpeg",,,,,,,,,0,
247,simple,,,ruby,1,1,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1,Ruby,,,https://omegasols.com/aadam/wp-content/uploads/2025/03/AdobeStock_834935017_Preview.jpeg,,,,,,,,,0,
253,simple,,,Amethyst,1,1,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1,Amethyst Stone زبرجد,,,"https://omegasols.com/aadam/wp-content/uploads/2025/03/AdobeStock_838048920_Preview.jpeg, https://omegasols.com/aadam/wp-content/uploads/2025/03/AdobeStock_10912481_Preview.jpeg",,,,,,,,,0,
256,simple,,,BloodStone,1,1,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1,BloodStone,,,"https://omegasols.com/aadam/wp-content/uploads/2025/03/AdobeStock_1221676507_Preview.jpeg, https://omegasols.com/aadam/wp-content/uploads/2025/03/AdobeStock_1286314236_Preview.jpeg",,,,,,,,,0,
265,simple,,,Citrine,1,1,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1,Citrine زرد,,,"https://omegasols.com/aadam/wp-content/uploads/2025/03/AdobeStock_1268485724_Preview-e1744126483507.jpeg, https://omegasols.com/aadam/wp-content/uploads/2025/03/AdobeStock_1118782975_Preview.jpeg",,,,,,,,,0,
507,simple,,,Agate – Aqeeq (Yemeni),1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,Agate – Aqeeq > Agate – Aqeeq (Yemeni),,,https://omegasols.com/aadam/wp-content/uploads/2025/04/yemen.webp,,,,,,,,,0,
554,simple,,,Cat Eye,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,Cat Eye (Lehsunia),,,https://omegasols.com/aadam/wp-content/uploads/2025/04/cat-250x250-1.jpg,,,,,,,,,0,
556,simple,,,Dor E Najaf,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,Dor E Najaf,,,"https://omegasols.com/aadam/wp-content/uploads/2025/04/najaf-250x250-1.jpg, https://omegasols.com/aadam/wp-content/uploads/2025/04/najaf-250x250-1.jpg",,,,,,,,,0,
558,simple,,,Emerald,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,Emerald,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/emerald-stone-price-in-paksitan-3.jpg,,,,,,,,,0,
560,simple,,,Epidote,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2500,Epidote,,,https://omegasols.com/aadam/wp-content/uploads/2025/04/290-ct-brownish-green-epidote-100-natural-gemstone-pakistan-004.jpg,,,,,,,,,0,
